project	tissue	method	recall	precision	dataset	positives	negatives	prior	log2_precision_over_prior
SRP012682	skin	UQ	10	0.03348729792147806	SRP012682_skin	711	185757	0.0038129866786794516	3.1346205742917634
SRP012682	spleen	UQ	10	0.003187481889307447	SRP012682_spleen	121	50884	0.0023723164395647485	0.4261206833181388
SRP012682	testis	UQ	10	0.025732217573221756	SRP012682_testis	1347	247180	0.005419934252616416	2.247228536291996
SRP012682	uterus	UQ	10	0.03791946308724832	SRP012682_uterus	1085	154897	0.006955930812529651	2.446623048841269
SRP012682	adipose_tissue	UQ_CLR	10	0.01559792027729636	SRP012682_adipose_tissue	93	59080	0.0015716627515927873	3.3109901010854523
SRP012682	blood	UQ_CLR	10	0.04086498931096859	SRP012682_blood	5692	414703	0.013539647236527551	1.5936752058831738
SRP012682	bone_marrow	UQ_CLR	10	0.00102880658436214	SRP012682_bone_marrow	51	50279	0.001013312139876813	0.0218931318069881
SRP012682	brain	UQ_CLR	10	0.024031811894882436	SRP012682_brain	4089	443669	0.009132165142778018	1.3959165714596138
SRP012682	breast	UQ_CLR	10	0.02744360902255639	SRP012682_breast	741	135945	0.005421184320266889	2.3397902537645967
SRP012682	cervix_uteri	UQ_CLR	10	0.01699604743083004	SRP012682_cervix_uteri	1847	210257	0.008707992305661374	0.9647872370139815
SRP012682	colon	UQ_CLR	10	0.0012908777969018934	SRP012682_colon	59	59499	9.906309815641895e-4	0.3819327855120933
SRP012682	fallopian_tube	UQ_CLR	10	0.02763819095477387	SRP012682_fallopian_tube	50	42216	0.0011829839587375196	4.546160771890153
SRP012682	heart	UQ_CLR	10	0.05236593059936909	SRP012682_heart	529	164120	0.0032128953106304926	4.026682618356815
SRP012682	kidney	UQ_CLR	10	0.011786892975011787	SRP012682_kidney	767	220365	0.0034685165421558164	1.7647928037622644
SRP012682	liver	UQ_CLR	10	0.05412371134020619	SRP012682_liver	1061	238312	0.00443241301232804	3.610096547252013
SRP012682	lung	UQ_CLR	10	0.025239338555265448	SRP012682_lung	311	117840	0.0026322248647916648	3.2613194567548285
SRP012682	muscle	UQ_CLR	10	0.0921875	SRP012682_muscle	1657	264040	0.006236427208436678	3.8857794800581273
SRP012682	nerve	UQ_CLR	10	0.012221423436376708	SRP012682_nerve	2031	289701	0.006961869112747316	0.8118657305727996
SRP012682	ovary	UQ_CLR	10	0.007879656160458453	SRP012682_ovary	346	143912	0.0023984805002148927	1.7160119666967268
SRP012682	pancreas	UQ_CLR	10	0.011194029850746268	SRP012682_pancreas	59	54795	0.0010755824552448317	3.3795394674560026
SRP012682	prostate	UQ_CLR	10	0.005636070853462158	SRP012682_prostate	140	84704	0.0016500872188958558	1.7721474652748155
SRP012682	skin	UQ_CLR	10	0.04561200923787529	SRP012682_skin	711	185757	0.0038129866786794516	3.5804203273412942
SRP012682	spleen	UQ_CLR	10	0.024291497975708502	SRP012682_spleen	121	50884	0.0023723164395647485	3.356083092252836
SRP012682	testis	UQ_CLR	10	0.017573221757322177	SRP012682_testis	1347	247180	0.005419934252616416	1.6970314537315165
SRP012682	uterus	UQ_CLR	10	0.025279642058165547	SRP012682_uterus	1085	154897	0.006955930812529651	1.861660548120113
SRP012682	adipose_tissue	CPM_wTO	10	0.0028885037550548816	SRP012682_adipose_tissue	93	59080	0.0015716627515927873	0.8780306938093463
SRP012682	blood	CPM_wTO	10	0.010717518308236649	SRP012682_blood	5692	414703	0.013539647236527551	-0.33721926962014176
SRP012682	bone_marrow	CPM_wTO	10	6.344171292624901e-4	SRP012682_bone_marrow	51	50279	0.001013312139876813	-0.6755750198028133
