project	tissue	method	log2_auprc_over_prior	auROC	dataset	sample_num	median_spearman	counts_sample_sums_median	counts_sample_sums_variance
SRP012682	skin	CPM_quantile	0.13529975166205907	0.5289835795319959	SRP012682_skin	972	0.8240569875401347	18298834	27032090903840.29
SRP012682	small_intestine	CPM_quantile	0.16219629713973438	0.5401063517847433	SRP012682_small_intestine	104	0.776948424667578	18834977	14013718866596.008
SRP012682	spleen	CPM_quantile	0.4442120924706119	0.5567543857901001	SRP012682_spleen	118	0.9159208419930962	17334780.5	14346446068866.951
SRP012682	stomach	CPM_quantile	0.15275570906587932	0.5403424223641196	SRP012682_stomach	203	0.8198299137803764	18289270	17003626657448.738
SRP012682	testis	CPM_quantile	0.22602449671383903	0.5491637931631885	SRP012682_testis	203	0.8975121198521843	17713495	28511044450967.555
SRP012682	thyroid	CPM_quantile	0.3718181784404157	0.5445325998721273	SRP012682_thyroid	361	0.8803299354597345	18085485	34659609336165.54
SRP012682	uterus	CPM_quantile	0.3022941722018449	0.5390152303407376	SRP012682_uterus	90	0.8770981722633059	18869898.5	15946606709973.91
SRP012682	vagina	CPM_quantile	0.15471083540315136	0.5339955103681859	SRP012682_vagina	97	0.8169675261454857	16892044	18566935313697.44
SRP012682	adipose_tissue	RPKM	0.3363083822262525	0.5507133305750358	SRP012682_adipose_tissue	620	0.8506274146438043	18923694	30066501410326.83
SRP012682	adrenal_gland	RPKM	0.30375925307805657	0.5552529118390339	SRP012682_adrenal_gland	159	0.9045109224029559	19522180	23481551609864.31
SRP012682	bladder	RPKM	0.059440884445342713	0.5191118460561484	SRP012682_bladder	11	0.8774278302670073	16528010	7730794256511.091
SRP012682	blood	RPKM	0.2822869561551827	0.5631762249136045	SRP012682_blood	595	0.8210499606496351	21664752	47563257529617
SRP012682	blood_vessel	RPKM	0.4285298363426966	0.5452253497696802	SRP012682_blood_vessel	750	0.8634456651812191	18951804.5	38754164151495.93
SRP012682	bone_marrow	RPKM	0.20362575078675982	0.5342894871673707	SRP012682_bone_marrow	102	0.9928019473064187	21093744.5	42049900457199.79
SRP012682	brain	RPKM	0.3095983374932885	0.5642042644217327	SRP012682_brain	1409	0.7523762664025219	19802864	46066048954458.94
SRP012682	breast	RPKM	0.16731598990668642	0.5362372464951477	SRP012682_breast	218	0.8302414835111974	18610044.5	18879247457177.68
SRP012682	cervix_uteri	RPKM	0.08916384492371832	0.5184943721283162	SRP012682_cervix_uteri	11	0.8542408684699819	16674331	5000055391623.473
SRP012682	colon	RPKM	0.14531722089674573	0.5465780670201639	SRP012682_colon	376	0.8005994571042859	18372514	19519544599157.188
SRP012682	esophagus	RPKM	0.1529060556231675	0.5398128143051508	SRP012682_esophagus	788	0.7675823718289441	18480702.5	33145227246645.367
SRP012682	fallopian_tube	RPKM	0.07387721689025267	0.5240458307071094	SRP012682_fallopian_tube	7	0.8610602932806956	15715064	23996813030299.906
SRP012682	heart	RPKM	0.5255691767131894	0.5980834418814993	SRP012682_heart	489	0.8295588197843352	20975683	39369470293725.52
SRP012682	kidney	RPKM	0.5087870229831236	0.5863973967334459	SRP012682_kidney	36	0.7985829147013058	20364143.5	22272752539960.25
SRP012682	liver	RPKM	0.55350155478393	0.5977647510571842	SRP012682_liver	136	0.8611651199044741	18997677	43479116110667.48
SRP012682	lung	RPKM	0.26627369140284757	0.5456145885354999	SRP012682_lung	374	0.8357935494798248	18762175	43149889822933.25
SRP012682	muscle	RPKM	0.5675747916946815	0.6003369205159288	SRP012682_muscle	475	0.8758770579357273	21197643	41509031431766.15
