project	tissue	method	recall	precision	dataset	log2_precision_over_prior
SRP022054	colon	UQ_wTO	5	0.17781422513801104	SRP022054_colon	0.7349633619758138
SRP022054	liver	UQ_wTO	5	0.15681532462551406	SRP022054_liver	0.5536591699041132
SRP022054	umbilical_cord	UQ_wTO	5	0.1645210968571514	SRP022054_umbilical_cord	0.6228652129749656
SRP022133	blood	UQ_wTO	5	0.16391062031987425	SRP022133_blood	0.6175019521133805
SRP023262	breast	UQ_wTO	5	0.13878777748888807	SRP023262_breast	0.3774731384393444
SRP023550	stem_cell	UQ_wTO	5	0.15904727529643053	SRP023550_stem_cell	0.574048274281521
SRP024274	epithelium	UQ_wTO	5	0.16474131325033164	SRP024274_epithelium	0.6247950120408928
SRP024674	prostate	UQ_wTO	5	0.13833985733048337	SRP024674_prostate	0.3728094912762549
SRP026013	breast	UQ_wTO	5	0.1941770613810256	SRP026013_breast	0.8619653992592713
SRP026042	skin	UQ_wTO	5	0.17431955367133695	SRP026042_skin	0.7063270252755279
SRP026048	brain	UQ_wTO	5	0.12480700678882002	SRP026048_brain	0.2242915483884937
SRP026126	brain	UQ_wTO	5	0.1080625487900078	SRP026126_brain	0.01645923282939422
SRP026126	intestine	UQ_wTO	5	0.11449520874366013	SRP026126_intestine	0.09987984502472097
SRP026208	heart	UQ_wTO	5	0.2119116977934908	SRP026208_heart	0.9880558460854817
SRP026387	prostate	UQ_wTO	5	0.12707074587597061	SRP026387_prostate	0.25022455007511746
SRP026690	umbilical_cord	UQ_wTO	5	0.1449955498017639	SRP026690_umbilical_cord	0.4406012393630222
SRP027015	umbilical_cord	UQ_wTO	5	0.192764542830744	SRP027015_umbilical_cord	0.8514323237897252
SRP027258	prostate	UQ_wTO	5	0.1213702138771519	SRP027258_prostate	0.18400702300101915
SRP027358	blood	UQ_wTO	5	0.1716318734195145	SRP027358_blood	0.683910115380232
SRP027383	umbilical_cord	UQ_wTO	5	0.18429186807405215	SRP027383_umbilical_cord	0.786585030672349
SRP028180	lung	UQ_wTO	5	0.2063109048723898	SRP028180_lung	0.9494126966385189
SRP028282	prostate	UQ_wTO	5	0.16869345423177998	SRP028282_prostate	0.6589966117791752
SRP028291	umbilical_cord	UQ_wTO	5	0.1506718084026791	SRP028291_umbilical_cord	0.4960021228954039
SRP028336	brain	UQ_wTO	5	0.15660197014116253	SRP028336_brain	0.55169498024891
SRP028336	kidney	UQ_wTO	5	0.15277525911253087	SRP028336_kidney	0.5160035454795563
SRP028336	muscle	UQ_wTO	5	0.1811358307892118	SRP028336_muscle	0.7616645740850105
SRP028554	blood	UQ_wTO	5	0.1458554223418427	SRP028554_blood	0.4491316386562651
SRP028554	bone	UQ_wTO	5	0.1294485713592115	SRP028554_bone	0.27697166081477986
SRP028594	blood	UQ_wTO	5	0.16214805933031354	SRP028594_blood	0.6019043745837608
SRP028594	bone	UQ_wTO	5	0.1569992852346813	SRP028594_bone	0.5553506086110825
SRP028705	brain	UQ_wTO	5	0.1424608449401838	SRP028705_brain	0.4151580696876418
SRP028738	brain	UQ_wTO	5	0.13920217713321162	SRP028738_brain	0.38177439281719777
SRP028912	cervix	UQ_wTO	5	0.13476312419974393	SRP028912_cervix	0.3350183973997685
SRP029262	blood	UQ_wTO	5	0.1693546504843039	SRP029262_blood	0.6646402214175455
SRP029281	blood	UQ_wTO	5	0.15705415081673751	SRP029281_blood	0.5558546903683051
SRP029452	tonsil	UQ_wTO	5	0.14094163867942464	SRP029452_tonsil	0.3996905105829907
SRP029592	heart	UQ_wTO	5	0.14263403760552043	SRP029592_heart	0.416910919320757
SRP029888	stem_cell	UQ_wTO	5	0.15160877903260175	SRP029888_stem_cell	0.504945913973571
SRP029889	blood	UQ_wTO	5	0.13988554265768324	SRP029889_blood	0.388839483494132
SRP029889	brain	UQ_wTO	5	0.11169407410522775	SRP029889_brain	0.06414526369761546
SRP029889	epithelium	UQ_wTO	5	0.11782909721054051	SRP029889_epithelium	0.14128846590545224
SRP029899	blood	UQ_wTO	5	0.27756114130434784	SRP029899_blood	1.3773982216294127
SRP029990	blood	UQ_wTO	5	0.15199926677688513	SRP029990_blood	0.5086569819153827
SRP030401	breast	UQ_wTO	5	0.1845254533738378	SRP030401_breast	0.7884124524287885
SRP030628	brain	UQ_wTO	5	0.1311079671058449	SRP030628_brain	0.2953479748093772
