project	tissue	method	log2_auprc_over_prior	log2_p20r	auROC	data_transformation	sample_num	counts_sample_sums_variance	median_spearman
SRP016059	heart	CLR	0.297653481756173	0.4734001364860711	0.5676336068249839	asinh	6	13870383891878.268	0.5871853868247949
SRP016140	stem_cell	CLR	0.208701113462339	0.32984566285900546	0.5514070529602577	asinh	5	358905269209643	0.9181495352353376
SRP016583	skin	CLR	0.1033717170509367	0.22023290428935585	0.52632866236263	asinh	6	2188477567450	0.9336400081635008
SRP017138	blood	CLR	0.36302015828156636	0.6435768423624784	0.5529295512474164	asinh	16	16342673398086.096	0.8153073995931062
SRP017411	cervix	CLR	0.11311341796064112	0.24612117350437512	0.5193101737595498	asinh	14	30571488621383.15	0.4933656853795485
SRP017575	breast	CLR	0.33454779637464754	0.5049647710718761	0.5809752284349088	asinh	52	9933587660267.701	0.8127863280061706
SRP017631	lung	CLR	0.167559554195361	0.35326525738972037	0.5567517005688387	asinh	8	442257294463807.1	0.9201548221684936
SRP017933	brain	CLR	0.1722713376618565	0.273699737099178	0.5432828759780932	asinh	25	713157146314.0834	0.7273783459580137
SRP017959	brain	CLR	0.1455033997380765	0.2859198876399987	0.5335427244663151	asinh	5	119399688816788.8	0.7966378839992087
SRP018020	umbilical_cord	CLR	0.0379569140804638	0.09001291322273924	0.5172004066907903	asinh	16	2927657881432.9956	0.6876624684378905
SRP018254	blood	CLR	0.17338929944516024	0.3013428466865761	0.5348118064498522	asinh	9	102407538153042.11	0.9758368407356841
SRP018525	umbilical_cord	CLR	0.11002402474583686	0.1921688044209876	0.5123418202051653	asinh	19	1386356978524.427	0.38400700240781294
SRP018861	bone	CLR	0.2970716595608763	0.5595787035492238	0.5752265258447551	asinh	21	4545492237961.434	0.9490740843284625
SRP018883	epithelium	CLR	0.18862108770761296	0.3071175995123838	0.5370194281758813	asinh	8	2779870903195.357	0.9347491867026323
SRP019241	stem_cell	CLR	0.1330293166364765	0.2671047756586103	0.5200208622063656	asinh	8	5929047005176.839	0.6475018931684982
SRP019762	brain	CLR	0.20403489496689875	0.32210842433862624	0.544964823141072	asinh	14	1231174015556.2637	0.9302012121598267
SRP019936	breast	CLR	0.231158977807894	0.4363942399939042	0.5393949365443405	asinh	32	26835339576058.645	0.655014660154117
