project	sample	run	sharq_beta_tissue
SRP012682	SRS625560	SRR1321029	Adrenal Gland
SRP012682	SRS628421	SRR1344143	Adipose Tissue
SRP012682	SRS638127	SRR1405206	Heart
SRP012682	SRS645799	SRR1454136	Heart
SRP012682	SRS648776	SRR1478207	Skin
SRP012682	SRS637866	SRR1400245	Brain
SRP012682	SRS639301	SRR1416025	Esophagus
SRP012682	SRS627593	SRR1336727	Brain
SRP012682	SRS634798	SRR1380785	Heart
SRP012682	SRS333035	SRR603212	Skin
SRP012682	SRS627379	SRR1334717	Brain
SRP012682	SRS389538	SRR657915	Brain
SRP012682	SRS638064	SRR1403875	Brain
SRP012682	SRS374774	SRR612875	Heart
SRP012682	SRS635181	SRR1383059	Brain
SRP012682	SRS645822	SRR1454629	Blood Vessel
SRP012682	SRS645936	SRR1457080	Colon
SRP012682	SRS649632	SRR1487638	Vagina
SRP012682	SRS644380	SRR1439742	Muscle
SRP012682	SRS637281	SRR1394428	Uterus
SRP012682	SRS645790	SRR1453971	Lung
SRP012682	SRS646085	SRR1460409	Prostate
SRP012682	SRS644588	SRR1444179	Pituitary
SRP012682	SRS623975	SRR1310920	Stomach
SRP012682	SRS626984	SRR1330129	Blood
SRP012682	SRS649690	SRR1488881	Esophagus
SRP012682	SRS623927	SRR1309920	Skin
SRP012682	SRS644017	SRR1433410	Adipose Tissue
SRP012682	SRS648335	SRR1469080	Esophagus
SRP012682	SRS627355	SRR1334587	Breast
SRP012682	SRS633871	SRR1374716	Thyroid
SRP012682	SRS624014	SRR1311666	Blood Vessel
SRP012682	SRS625655	SRR1322840	Adipose Tissue
SRP012682	SRS623936	SRR1310113	Brain
SRP012682	SRS644602	SRR1444479	Brain
SRP012682	SRS644773	SRR1448140	Blood Vessel
SRP012682	SRS374919	SRR615201	Skin
SRP012682	SRS625311	SRR1316747	Skin
SRP012682	SRS630058	SRR1362263	Kidney
SRP012682	SRS634860	SRR1381505	Pancreas
SRP012682	SRS374932	SRR614599	Muscle
SRP012682	SRS648817	SRR1479133	Adipose Tissue
SRP012682	SRS649597	SRR1486889	Adipose Tissue
SRP012682	SRS650160	SRR1500282	Adrenal Gland
SRP012682	SRS648806	SRR1478878	Stomach
SRP012682	SRS636083	SRR1387379	Blood Vessel
SRP012682	SRS648172	SRR1465565	Skin
SRP012682	SRS635184	SRR1383103	Skin
SRP012682	SRS637817	SRR1399247	Stomach
SRP012682	SRS639397	SRR1417827	Brain
SRP012682	SRS639404	SRR1417981	Brain
SRP012682	SRS649754	SRR1490246	Breast
SRP012682	SRS333296	SRR601157	Thyroid
SRP012682	SRS630024	SRR1361814	Colon
SRP012682	SRS627784	SRR1338836	Adipose Tissue
SRP012682	SRS627044	SRR1330371	Small Intestine
SRP012682	SRS643970	SRR1432408	Esophagus
SRP012682	SRS629287	SRR1348021	Brain
SRP012682	SRS634452	SRR1378841	Brain
SRP012682	SRS374718	SRR615299	Blood
SRP012682	SRS526566	SRR1100496	Adrenal Gland
SRP012682	SRS623878	SRR1308778	Adrenal Gland
